"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","KeepOnGrounds"
"16105",1010627,"X000425256","PA6685 .C6 1601 1952 ed.","ALDERMAN","Discourse upon Seneca the tragedian (1601)","Cornwallis, William,",1952,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"16106",1309455,"X001488560","PA6685 .C87 1986","ALDERMAN","The nature of Senecan drama /","Curley, Thomas F. (Thomas Francis),",1986,"6/30/96","1/25/12",1,0,2,1,"2",FALSE,0
"16107",2505969,"X004007248","PA6685 .D86 1995","ALDERMAN","Les monstres de Sénèque : pour une dramaturgie de la tragédie romaine /","Dupont, Florence.",1995,"7/1/96","12/3/08",3,0,0,1,"2",FALSE,0
"16108",4072921,"X004802127","PA6685 .F37 2004","ALDERMAN","Annaeana tragica : notes on the text of Seneca's tragedies /","Fitch, John G.",2004,"10/5/04","5/14/17",1,1,5,1,"2",FALSE,0
"16109",659758,"X000871662","PA6685 .G5 1953","ALDERMAN","Saggio sulle tragedie di Seneca /","Giancotti, Francesco.",1953,"6/29/96","4/10/18",1,0,0,1,"2",FALSE,0
"16110",3821742,"X004617930","PA6685 .G83 2001","ALDERMAN","L'ira e l'onore : forme della vendetta nel teatro senecano e nella sua tradizione /","Guastella, Gianni.",2001,"3/14/02","1/1/00",0,0,0,1,"2",FALSE,0
"16111",6127990,"X031574330","PA6685 .H38 2013","ALDERMAN","Die dramatische Zeit in Senecas Tragodien /","Heil, Andreas,",2013,"9/10/13","1/1/00",0,0,0,1,"2",FALSE,0
"16112",1010628,"X000442119","PA6685 .H44 1974","ALDERMAN","Untersuchungen zu den Tragödien Senecas /","Heldmann, Konrad.",1974,"6/29/96","8/11/97",0,0,0,1,"2",FALSE,0
"16113",6184396,"X031582240","PA6685 .K575 2013","ALDERMAN","Lehrreiche Trugbilder : Senecas Tragödien und die Rhetorik des Sehens /","Kirichenko, Alexander,",2013,"1/10/14","1/15/14",0,0,0,1,"2",FALSE,0
"16114",5975991,"X031612806","PA6685 .K64 2013","ALDERMAN","The dramaturgy of Senecan tragedy /","Kohn, Thomas D.,",2013,"4/17/13","5/14/17",0,2,4,1,"2",FALSE,0
