"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"12780",352205,"X000058291","PR5671 .T5 S2","ALDERMAN","Trelawny : the incurable romancer /","St. Clair, William.",1977,"6/28/96","9/13/99",0,0,0,1,"2",FALSE,"0",0
"12781",2285056,"X002481412","PR4989 .M4 V59 1993","ALDERMAN","Vixen /","Braddon, M. E. (Mary Elizabeth),",1993,"7/1/96","1/4/99",0,0,0,1,"2",TRUE,"0",0
"12782",113561,"X000353027","PR5888 .P57 1982","ALDERMAN","William Wordsworth, the poetry of grandeur and of tenderness /","Pirie, David (David B.)",1982,"6/28/96","6/23/99",0,0,0,1,"2",FALSE,"0",0
"12783",1072063,"X000394791","PR5318 .A1 1899","ALDERMAN","Ivanhoe,","Scott, Walter,",1899,"6/29/96","12/17/02",0,0,0,1,"2",FALSE,"0",0
"12784",453330,"X000197283","PR4036 .W3 1971","ALDERMAN","Jane Austen.","Warre Cornish, Francis,",1971,"6/29/96","12/3/99",2,0,0,1,"2",FALSE,"0",0
"12785",1945533,"X002072739","PR5221 .R3 Z5 1969","ALDERMAN","The life and times of Frederick Reynolds.","Reynolds, Frederick,",1969,"6/30/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12786",1069217,"1069217-1001","PR4036 .L38 1969","ALDERMAN","Jane Austen.","Sherry, Norman.",1969,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12787",1068617,"X000833097","PR4146 .W613","ALDERMAN","William Blake: painter, poet, visionary: an attempt at an introduction to his life and work;","Wolf-Gumpold, Kaethe.",1969,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12788",1069597,"X000490645","PR4168 .M58","ALDERMAN","Haworth harvest; the story of the Brontës","Morrison, Nancy Brysson.",1969,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12789",1069753,"X000734542","PR4222 .I53 H5","ALDERMAN","Browning's analysis of a murder; a case for The inn album.","Hitner, John Meigs.",1969,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12790",741842,"X001818595","PR4453 .C248 B3 1969","ALDERMAN","Bankim rachanavali.","Ca??op?dhy??a, Ba?kimacandra,",1969,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12791",1072523,"X000275881","PR4575 .A7 1969","ALDERMAN","The actor in Dickens; a study of the histrionic and dramatic elements in the novelist's life and works,","Amerongen, J. B. van.",1969,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12792",524741,"X000350528","PR4762 .C8 1969","ALDERMAN","A cut and a kiss.","Hope, Anthony,",1969,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12793",1071504,"X030283327","PR4803 .H44 Z49","ALDERMAN","A concordance of the poetry in English of Gerard Manl[e]y Hopkins.","Borrello, Alfred.",1969,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12794",752472,"X000317121","PR4837 .J65","ALDERMAN","John Keats's dream of truth,","Jones, John,",1969,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12795",1071891,"X000468333","PR5014 .S9 1969","ALDERMAN","Three conquerors. Character and method in the mature works of George Meredith.","Swanson, Donald Roland.",1969,"6/29/96","1/1/00",0,0,0,2,"2",FALSE,"0",0
"12796",754226,"X001146670","PR5252 .B4 1969","ALDERMAN","Ruskin as literary critic; selections.","Ruskin, John,",1969,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12797",453843,"X000107840","PR5294 .A1 1969b V.1","ALDERMAN","The collected essays and papers of George Saintsbury, 1875-1920. London, J. M. Dent; New York, E. P. Dutton, 1923-24.","Saintsbury, George,",1969,"6/29/96","1/1/00",1,0,0,8,"2",TRUE,"0",0
"12798",752403,"X000686013","PR5341 .C3 1969","ALDERMAN","Scott","Calder, Angus.",1969,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
