"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"8278",2922978,"X004340865","PL2924 .K83 M24 1998","ALDERMAN","Mei you ri ji di Luofu he /","Ye, Guangqin.",1998,"6/22/99","10/26/07",0,0,0,1,"2",FALSE,"0",0
"8279",2836321,"X001220936","PL2690 .S36 1983","ALDERMAN","San Sui ping yao zhuan /","Luo, Guanzhong,",1983,"9/28/98","6/16/09",0,0,0,1,"2",FALSE,"0",0
"8280",1850487,"X001859847","PL2781 .N2 F345 1989","ALDERMAN","Feng sheng he li /","Lin, Yutang,",1980,"6/30/96","7/8/11",1,0,0,2,"2",TRUE,"0",0
"8281",2928008,"X004405933","PL2415 .C584 1998","ALDERMAN","Zhongguo wen xue.","",1998,"7/15/99","10/4/07",0,0,0,1,"2",FALSE,"0",0
"8282",2912444,"X006018776","PL2922 .L478 W4 1999","ALDERMAN","Where the sea stands still : new poems /","Yang, Lian,",1999,"5/17/99","10/26/07",0,0,0,1,"2",FALSE,"0",0
"8283",2912563,"X004302271","PL2852 .T48 H9313 1999","ALDERMAN","Notes of a desolate man /","Zhu, Tianwen.",1999,"5/17/99","10/25/07",1,0,0,1,"2 3",FALSE,"0",0
"8284",2922553,"X004267732","PL1128 .F85 1999","ALDERMAN","An introduction to literary Chinese /","Fuller, Michael A.,",1999,"6/21/99","9/26/07",1,0,0,1,"2",FALSE,"0",0
"8285",1232571,"X001365349","PL2919 .M39 A23 1983","CLEMONS","The butterfly and other stories /","Wang, Meng.",1983,"6/30/96","4/18/11",0,0,0,1,"3",FALSE,"0",0
"8286",1993096,"X000903935","PL2643 .H85 1981","ALDERMAN","Song Ming hua ben : ting gu ren shuo shu /","Hu, Wanchuan.",1981,"6/30/96","6/6/11",1,0,0,1,"2",FALSE,"0",0
"8287",2078679,"X002177031","PL2521 .C54 C53 1991","ALDERMAN","Chu ci ji zhu : 16 juan /","Zhu, Xi,",1991,"6/30/96","9/25/10",0,0,0,1,"2",TRUE,"0",0
