Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
1227273,2,ALDERMAN,STACKS,DC101 .A2 P5 1958,1958,"The ""Livre de la paix."" A critical ed.,","Christine,",X000889303,BOOK,6/30/96,11/6/13,CHECKEDOUT,0,6,0,1,7
4779390,2,ALDERMAN,STACKS,DC101 .A2 P513 2008,2008,The book of peace /,"Christine,",X030457459,BOOK,10/7/08,11/6/13,CHECKEDOUT,0,7,1,1,10
3716171,2,ALDERMAN,STACKS,DC101 .A2 S334 2001,2001,the three versions of Pierre Salmon's Dialogues / Of counselors and kings :,"Hedeman, Anne D.,",X004479162,BOOK,5/8/01,3/24/15,CHECKEDOUT,1,0,0,1,2
691131,2,ALDERMAN,STACKS,DC101 .A876 1986,1986,Charles VI : La Folie du Roi /,"Autrand, Françoise.",X001183291,BOOK,6/29/96,11/6/13,CHECKEDOUT,0,7,2,1,39
462303,2,ALDERMAN,STACKS,DC101 .C3,1945,Chute et relèvement de la France sous Charles VI et Charles VII.,"Calmette, Joseph,",X000031818,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
357782,2,ALDERMAN,STACKS,DC101 .G3,1977,Charles VI : le bal des Ardents /,"Gascar, Pierre,",X000058463,BOOK,6/28/96,6/1/00,STACKS,0,0,1,1,9
4031688,2,ALDERMAN,STACKS,DC101 .G945 2004,2004,roi bien-aimé / La folie de Charles VI :,"Guenée, Bernard.",X004789936,BOOK,5/18/04,1/24/13,STACKS,0,0,3,1,12
3519920,2,ALDERMAN,STACKS,DC101 .S25 1996,1999,Saint-Denis et la royauté : études offertes à Bernard Guenée /,Saint-Denis et la Royauté,X004405909,BOOK,3/28/00,1/3/11,STACKS,0,0,1,1,0
1329249,2,ALDERMAN,STACKS,DC101 .S36 1988,1988,Les Armagnacs et les Bourguignons : la maudite guerre /,"Schnerb, Bertrand.",X001559152,BOOK,6/30/96,11/6/13,CHECKEDOUT,0,7,0,1,11
697244,2,ALDERMAN,STACKS,DC101.3 .F36 1986,1986,"Royal intrigue : crisis at the court of Charles VI, 1392-1420 /","Famiglietti, R. C.",X001220342,BOOK,6/29/96,10/18/16,STACKS,1,0,0,1,21
1971490,2,ALDERMAN,STACKS,DC101.3 .G83 1992,1992,"l'assassinat du Duc d'Orléans, 23 novembre 1407 / Un Meurtre, une société :","Guenée, Bernard.",X002122259,BOOK,6/30/96,11/6/13,CHECKEDOUT,0,7,0,1,27
3826575,2,ALDERMAN,STACKS,DC101.3 .G835 2002,2002,d'après la chronique de Charles VI du religieux de Saint-Denis / L'opinion publique à la fin du moyen âge :,"Guenée, Bernard.",X004620271,BOOK,4/1/02,9/14/07,STACKS,0,0,0,1,2
